Number,Name,x,y
443,S12-3,-14266.8,-4512.2
444,S12-4,-14192.8,-4499.51
445,S12-5,-14220,-4459.22
446,S12-6,-14176.1,-4443.97
447,S13-1,-10905.2,-13932.5
448,S13-2,-10947,-13923.6
449,S13-3,-10905.6,-13886.4
450,S13-4,-10969.7,-13868.7
451,S13-5,-10866.9,-13851.6
452,S13-6,-10932.2,-13847.6
453,S14-1,-6657.48,-20878.2
454,S14-2,-6688.27,-20844.3
455,S14-3,-6635.82,-20829
456,S14-4,-6594.1,-20815.4
457,S14-5,-6695.13,-20799.3
458,S14-6,-6638.4,-20760.7
459,S15-1,-25611.5,-13312.5
460,S15-2,-25666.8,-13277.9
461,S15-3,-25612.4,-13267.6
462,S15-4,-25564.6,-13249.6
463,S15-5,-25675.9,-13235
464,S15-6,-25733.8,-13259.3
465,S16-1,-28297.6,-26175.5
466,S16-2,-28352.7,-26158.5
467,S16-3,-28253,-26147.4
468,S16-4,-28300.7,-26117.4
469,S16-5,-28368.1,-26118.1
470,S16-6,-28324.4,-26082.4
471,N10-1,-148.911,8192.63
472,N10-2,-191.23,8198.98
473,N10-3,-229.674,8217.57
474,N10-4,-142.354,8240.17
475,N10-5,-183.084,8255.31
476,N10-6,-215.071,8287.37
477,N11-1,4048.01,11432.8
478,N11-2,4005.1,11449.4
479,N11-3,4054.57,11478.1
480,N11-4,4014.43,11492.7
481,N11-5,4096.19,11498.8
482,N11-6,4043.04,11545.7
483,N12-1,-3957.81,12431.3
484,N12-2,-3867.41,12439.6
485,N12-3,-3919.07,12461.9
486,N12-4,-3874.07,12499.7
487,N12-5,-3977.48,12503.8
488,N12-6,-3916.29,12508.8
489,N13-1,-9089.42,14640.7
490,N13-2,-9043.43,14652.6
491,N13-3,-9114.26,14675
492,N13-4,-9067.27,14699.9
493,N13-5,-9111.18,14726.2
494,N13-6,-9064.09,14742
495,N14-1,-13773.4,18145.3
496,N14-2,-13734.4,18165.3
497,N14-3,-13767.2,18201.5
498,N14-4,-13811.2,18204.7
499,N14-5,-13740.1,18241.7
500,N14-6,-13804,18254
501,N15-1,-7767.3,26648.4
502,N15-2,-7707.9,26666.7
503,N15-3,-7804.26,26693
504,N15-4,-7757.57,26701.8
505,N15-5,-7719.94,26721
506,N15-6,-7801.28,26745.2
507,N16-1,-10483.9,36326.4
508,N16-2,-10407.1,36354.3
509,N16-3,-10470.7,36376.6
510,N16-4,-10417.9,36397.5
511,N16-5,-10511.6,36403.9
512,N16-6,-10467.7,36422.8
